
"LC5202EW - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Highest Level of Qualification:","All categories: Highest level of qualification"

"local authority: county / unitary (prior to April 2015)","mnemonic","White: Total","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"

"Barking and Dagenham","E09000002",86979,3533,21372,23798,1931
"Barnet","E09000003",186229,9542,53938,19435,13008
"Bexley","E09000004",154766,2835,12261,13179,1390
"Brent","E09000005",96762,9977,86537,42460,12722
"Bromley","E09000006",214896,5814,12750,13016,2330
"Camden","E09000007",128384,7582,29080,12676,7151
"City of London","E09000001",5445,188,841,143,138
"Croydon","E09000008",167160,12851,47074,52148,5035
"Ealing","E09000009",140035,8050,80321,26193,14973
"Enfield","E09000010",156154,9314,27508,37351,12138
"Greenwich","E09000011",131387,6483,24195,33488,3610
"Hackney","E09000012",113022,10577,19733,42356,9457
"Hammersmith and Fulham","E09000013",108099,6339,14740,15759,7926
"Haringey","E09000014",129415,9099,19868,34893,9581
"Harrow","E09000015",86432,4807,81022,13859,4878
"Havering","E09000016",172386,2575,8970,7915,998
"Hillingdon","E09000017",138104,5272,54203,13612,5852
"Hounslow","E09000018",108709,5584,69723,11405,7003
"Islington","E09000019",124355,8372,16120,18842,5611
"Kensington and Chelsea","E09000020",96831,5687,14323,8043,9383
"Kingston upon Thames","E09000021",99126,3306,20628,3196,3534
"Lambeth","E09000022",153214,14488,17924,56719,5955
"Lewisham","E09000023",127235,10916,20570,54340,5688
"Merton","E09000024",108267,5496,28325,15658,3094
"Newham","E09000025",76557,7574,102483,43239,8237
"Redbridge","E09000026",101682,5314,86247,17432,5437
"Richmond upon Thames","E09000027",130671,3506,11153,2208,2514
"Southwark","E09000028",137534,10534,23321,55759,7753
"Sutton","E09000029",122994,3860,16627,6671,2006
"Tower Hamlets","E09000030",105479,6582,73202,13856,4834
"Waltham Forest","E09000031",114529,7054,40820,32812,7916
"Wandsworth","E09000032",189882,9326,27139,24374,5268
"Westminster","E09000033",121262,7449,27007,12433,18661



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"LC5202EW - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Highest Level of Qualification:","Level 3 qualifications"

"local authority: county / unitary (prior to April 2015)","mnemonic","White: Total","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"

"Barking and Dagenham","E09000002",7529,485,1957,2611,177
"Barnet","E09000003",19091,1297,4832,2224,1298
"Bexley","E09000004",18081,436,1299,1376,142
"Brent","E09000005",9171,1207,7734,4815,1236
"Bromley","E09000006",24997,826,1037,1566,218
"Camden","E09000007",14027,1293,4560,1500,960
"City of London","E09000001",354,21,80,16,13
"Croydon","E09000008",18667,1886,4703,6694,548
"Ealing","E09000009",13144,1032,7259,2930,1522
"Enfield","E09000010",15983,1197,2776,4413,1188
"Greenwich","E09000011",13710,883,2420,3879,358
"Hackney","E09000012",9110,1247,1923,5027,799
"Hammersmith and Fulham","E09000013",10768,876,1788,1994,880
"Haringey","E09000014",11677,1009,1741,4145,884
"Harrow","E09000015",9248,726,7662,1727,507
"Havering","E09000016",19537,390,834,947,89
"Hillingdon","E09000017",17336,941,6019,2073,725
"Hounslow","E09000018",10825,736,6280,1301,656
"Islington","E09000019",10994,1055,2080,2209,566
"Kensington and Chelsea","E09000020",8883,716,2047,974,840
"Kingston upon Thames","E09000021",13151,680,2558,659,434
"Lambeth","E09000022",13084,1666,1872,6826,540
"Lewisham","E09000023",12852,1573,1996,6688,585
"Merton","E09000024",10289,738,2725,1887,289
"Newham","E09000025",6429,980,9915,5257,875
"Redbridge","E09000026",9986,753,8849,2036,584
"Richmond upon Thames","E09000027",13916,485,998,302,219
"Southwark","E09000028",13120,1426,2773,6721,739
"Sutton","E09000029",14880,549,1609,780,205
"Tower Hamlets","E09000030",10292,886,7448,1528,489
"Waltham Forest","E09000031",10517,970,4134,3961,758
"Wandsworth","E09000032",17922,1299,2578,3129,557
"Westminster","E09000033",10594,867,2856,1283,1513



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"LC5202EW - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Highest Level of Qualification:","Level 4 qualifications and above"

"local authority: county / unitary (prior to April 2015)","mnemonic","White: Total","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"

