
"RM049 - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2023]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"
"Highest level of qualification:","Total"

"local authority: county / unitary (as of April 2023)","Total"

"Barking and Dagenham",161744
"Barnet",309360
"Bexley",195833
"Brent",275143
"Bromley",265086
"Camden",177903
"City of London",8005
"Croydon",310400
"Ealing",295372
"Enfield",257182
"Greenwich",229751
"Hackney",209470
"Hammersmith and Fulham",154628
"Haringey",216008
"Harrow",209623
"Havering",209724
"Hillingdon",241873
"Hounslow",228684
"Islington",183624
"Kensington and Chelsea",123090
"Kingston upon Thames",135470
"Lambeth",268945
"Lewisham",242413
"Merton",172776
"Newham",276172
"Redbridge",242015
"Richmond upon Thames",155836
"Southwark",256135
"Sutton",165653
"Tower Hamlets",252887
"Waltham Forest",222185
"Wandsworth",273558
"Westminster",177471



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""







"RM049 - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2023]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"
"Highest level of qualification:","Apprenticeship"

"local authority: county / unitary (as of April 2023)","Total"

"Barking and Dagenham",6262
"Barnet",9630
"Bexley",10227
"Brent",9529
"Bromley",10559
"Camden",3402
"City of London",79
"Croydon",11786
"Ealing",10012
"Enfield",10055
"Greenwich",7939
"Hackney",4940
"Hammersmith and Fulham",3533
"Haringey",6781
"Harrow",6656
"Havering",10777
"Hillingdon",10298
"Hounslow",8090
"Islington",4212
"Kensington and Chelsea",2379
"Kingston upon Thames",4324
"Lambeth",6972
"Lewisham",7261
"Merton",5753
"Newham",8619
"Redbridge",7556
"Richmond upon Thames",3743
"Southwark",6508
"Sutton",7282
"Tower Hamlets",5442
"Waltham Forest",7699
"Wandsworth",5578
"Westminster",3749



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""







"RM049 - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2023]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"
"Highest level of qualification:","Level 3 qualifications"

"local authority: county / unitary (as of April 2023)","Total"

"Barking and Dagenham",21819
"Barnet",38541
"Bexley",32511
"Brent",34338
"Bromley",39420
"Camden",25154
"City of London",713
"Croydon",45536
"Ealing",37920
"Enfield",34476
"Greenwich",30154
"Hackney",24171
"Hammersmith and Fulham",20165
"Haringey",25260
"Harrow",26424
"Havering",34122
"Hillingdon",35833
"Hounslow",28046
"Islington",22337
"Kensington and Chelsea",15439
"Kingston upon Thames",19764
"Lambeth",31935
"Lewisham",31541
"Merton",21787
"Newham",35783
"Redbridge",33074
"Richmond upon Thames",18830
"Southwark",31575
"Sutton",25866
"Tower Hamlets",33345
"Waltham Forest",28770
"Wandsworth",31214
"Westminster",22020



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""







"RM049 - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2023]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"
"Highest level of qualification:","Level 4 qualifications or above"

"local authority: county / unitary (as of April 2023)","Total"

"Barking and Dagenham",53790
"Barnet",151642
"Bexley",61837
"Brent",109998
"Bromley",113510
"Camden",101932
"City of London",5938
"Croydon",127344
"Ealing",130981
"Enfield",93371
"Greenwich",104926
"Hackney",109725
"Hammersmith and Fulham",89046
"Haringey",104270
"Harrow",94317
"Havering",61921
"Hillingdon",90664
"Hounslow",95076
"Islington",103973
"Kensington and Chelsea",73226
"Kingston upon Thames",69584
"Lambeth",151312
"Lewisham",120814
"Merton",86413
"Newham",111129
"Redbridge",102696
"Richmond upon Thames",94089
"Southwark",140513
"Sutton",65889
"Tower Hamlets",127300
"Waltham Forest",95910
"Wandsworth",171346
"Westminster",102356



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

