"Borough","Qualification Type","GSSCode","White","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"
"Barking and Dagenham","Apprenticeship","E09000002",9372,380,3606,2487,377
"Barnet","Apprenticeship","E09000003",21582,1060,7772,1770,2310
"Bexley","Apprenticeship","E09000004",13616,225,1723,1052,226
"Brent","Apprenticeship","E09000005",17914,1384,14642,4617,2713
"Bromley","Apprenticeship","E09000006",16069,391,1602,924,417
"Camden","Apprenticeship","E09000007",11422,756,3999,1261,1181
"City of London","Apprenticeship","E09000001",330,13,81,9,30
"Croydon","Apprenticeship","E09000008",15322,1027,7032,4552,851
"Ealing","Apprenticeship","E09000009",22001,927,15676,2847,3203
"Enfield","Apprenticeship","E09000010",17090,895,3701,3498,1814
"Greenwich","Apprenticeship","E09000011",11951,546,3967,3375,787
"Hackney","Apprenticeship","E09000012",10456,1024,2678,4479,1527
"Hammersmith and Fulham","Apprenticeship","E09000013",11657,768,2243,1649,1497
"Haringey","Apprenticeship","E09000014",16473,1069,3152,3813,1755
"Harrow","Apprenticeship","E09000015",10827,431,10266,1253,837
"Havering","Apprenticeship","E09000016",14791,181,1154,537,175
"Hillingdon","Apprenticeship","E09000017",14655,513,8703,1329,1158
"Hounslow","Apprenticeship","E09000018",14694,670,12349,1327,1416
"Islington","Apprenticeship","E09000019",9748,692,2012,1692,1033
"Kensington and Chelsea","Apprenticeship","E09000020",12330,680,2401,906,1897
"Kingston upon Thames","Apprenticeship","E09000021",8409,262,3127,252,619
"Lambeth","Apprenticeship","E09000022",15860,1701,2334,6272,1458
"Lewisham","Apprenticeship","E09000023",11739,1000,2831,5139,983
"Merton","Apprenticeship","E09000024",12328,545,4727,1445,623
"Newham","Apprenticeship","E09000025",14535,1046,17817,4747,1737
"Redbridge","Apprenticeship","E09000026",10639,447,12562,1395,874
"Richmond upon Thames","Apprenticeship","E09000027",9285,255,1447,202,453
"Southwark","Apprenticeship","E09000028",12379,1175,2932,6258,1700
"Sutton","Apprenticeship","E09000029",10591,273,2323,469,363
"Tower Hamlets","Apprenticeship","E09000030",10143,611,9168,1434,898
"Waltham Forest","Apprenticeship","E09000031",16380,730,6660,3327,1739
"Wandsworth","Apprenticeship","E09000032",16774,859,4390,2345,1015
"Westminster","Apprenticeship","E09000033",14696,959,4107,1471,3772
