"Borough","GSScode","ethnicDemo","Apprenticeships","Level 3","Level 4"
"Barking and Dagenham","E09000002","Asian, Asian British or Asian Welsh",740,5374,16952
"Barking and Dagenham","E09000002","Black, Black British, Black Welsh, Caribbean or African",835,4789,16288
"Barking and Dagenham","E09000002","Mixed or Multiple ethnic groups",189,802,1344
"Barking and Dagenham","E09000002","White",4281,10214,17263
"Barking and Dagenham","E09000002","Other",217,640,1943
"Barnet","E09000003","Asian, Asian British or Asian Welsh",1122,6109,33670
"Barnet","E09000003","Black, Black British, Black Welsh, Caribbean or African",543,3291,12260
"Barnet","E09000003","Mixed or Multiple ethnic groups",306,1944,5765
"Barnet","E09000003","White",6925,23798,85640
"Barnet","E09000003","Other",734,3399,14307
"Bexley","E09000004","Asian, Asian British or Asian Welsh",351,2071,9585
"Bexley","E09000004","Black, Black British, Black Welsh, Caribbean or African",417,2828,13141
"Bexley","E09000004","Mixed or Mulitple ethnic groups",148,921,1532
"Bexley","E09000004","White",9162,26093,35680
"Bexley","E09000004","Other",149,598,1899
"Brent","E09000005","Asian, Asian British or Asian Welsh",1888,9778,36848
"Brent","E09000005","Black, Black British, Black Welsh, Caribbean or African",1656,7535,16338
"Brent","E09000005","Mixed or Mulitple ethnic groups",464,1856,4651
"Brent","E09000005","White",4716,12402,42663
"Brent","E09000005","Other",805,2767,9498
"Bromley","E09000006","Asian, Asian British or Asian Welsh",256,1770,11479
"Bromley","E09000006","Black, Black British, Black Welsh, Caribbean or African",491,2686,10425
"Bromley","E09000006","Mixed or Mulitple ethnic groups",320,1653,4219
"Bromley","E09000006","White",9309,32576,81327
"Bromley","E09000006","Other",183,735,3060
"Camden","E09000007","Asian, Asian British or Asian Welsh",433,4984,15881
"Camden","E09000007","Black, Black British, Black Welsh, Caribbean or African",371,2576,6106
"Camden","E09000007","Mixed or Mulitple ethnic groups",183,1880,5058
"Camden","E09000007","White",2153,14365,68515
"Camden","E09000007","Other",262,1349,6372
"City of London","E09000001","Asian, Asian British or Asian Welsh",8,133,955
"City of London","E09000001","Black, Black British, Black Welsh, Caribbean or African",11,30,104
"City of London","E09000001","Mixed or Mulitple ethnic groups",6,34,259
"City of London","E09000001","White",46,488,4333
"City of London","E09000001","Other",8,28,287
"Croydon","E09000008","Asian, Asian British or Asian Welsh",928,6406,27062
"Croydon","E09000008","Black, Black British, Black Welsh, Caribbean or African",2199,10910,30013
"Croydon","E09000008","Mixed or Mulitple ethnic groups",575,3128,6369
"Croydon","E09000008","White",7627,23551,59108
"Croydon","E09000008","Other",457,1541,4792
"Ealing","E09000009","Asian, Asian British or Asian Welsh",1961,10141,35360
"Ealing","E09000009","Black, Black British, Black Welsh, Caribbean or African",991,5169,11313
"Ealing","E09000009","Mixed or Mulitple ethnic groups",349,1959,5001
"Ealing","E09000009","White",5911,17379,66966
"Ealing","E09000009","Other",800,3272,12341
"Enfield","E09000010","Asian, Asian British or Asian Welsh",517,3899,14261
"Enfield","E09000010","Black, Black British, Black Welsh, Caribbean or African",1491,6890,18025
"Enfield","E09000010","Mixed or Mulitple ethnic groups",428,1868,4072
"Enfield","E09000010","White",6684,18133,48032
"Enfield","E09000010","Other",935,3686,8981
"Greenwich","E09000011","Asian, Asian British or Asian Welsh",609,3163,15826
"Greenwich","E09000011","Black, Black British, Black Welsh, Caribbean or African",1294,6480,22631
"Greenwich","E09000011","Mixed or Mulitple ethnic groups",308,1741,4246
"Greenwich","E09000011","White",5449,17653,58325
"Greenwich","E09000011","Other",279,1117,3898
"Hackney","E09000012","Asian, Asian British or Asian Welsh",337,2894,9489
"Hackney","E09000012","Black, Black British, Black Welsh, Caribbean or African",1542,689,16605
"Hackney","E09000012","Mixed or Mulitple ethnic groups",323,1726,6441
"Hackney","E09000012","White",2271,10884,71604
"Hackney","E09000012","Other",467,1776,5586
"Hammersmith and Fulham","E09000013","Asian, Asian British or Asian Welsh",250,2043,10168
"Hammersmith and Fulham","E09000013","Black, Black British, Black Welsh, Caribbean or African",600,2997,6725
"Hammersmith and Fulham","E09000013","Mixed or Mulitple ethnic groups",197,1365,4025
"Hammersmith and Fulham","E09000013","White",2239,12536,62674
"Hammersmith and Fulham","E09000013","Other",247,1224,5454
"Haringey","E09000014","Asian, Asian British or Asian Welsh",382,2271,9176
"Haringey","E09000014","Black, Black British, Black Welsh, Caribbean or African",1409,5934,13831
"Haringey","E09000014","Mixed or Mulitple ethnic groups",432,1673,5738
"Haringey","E09000014","White",3794,13301,69061
"Haringey","E09000014","Other",764,2081,6464
"Harrow","E09000015","Asian, Asian British or Asian Welsh",1409,10692,49748
"Harrow","E09000015","Black, Black British, Black Welsh, Caribbean or African",428,2443,6777
"Harrow","E09000015","Mixed or Mulitple ethnic groups",175,1001,2336
"Harrow","E09000015","White",4286,10388,29699
"Harrow","E09000015","Other",358,1900,5757
"Havering","E09000016","Asian, Asian British or Asian Welsh",329,2594,11685
"Havering","E09000016","Black, Black British, Black Welsh, Caribbean or African",397,2218,9008
"Havering","E09000016","Mixed or Mulitple ethnic groups",170,966,1747
"Havering","E09000016","White",9745,27893,37735
"Havering","E09000016","Other",136,451,1746
"Hillingdon","E09000017","Asian, Asian British or Asian Welsh",1519,9338,36936
"Hillingdon","E09000017","Black, Black British, Black Welsh, Caribbean or African",504,504,7210
"Hillingdon","E09000017","Mixed or Mulitple ethnic groups",271,271,2644
"Hillingdon","E09000017","White",7603,7603,38111
"Hillingdon","E09000017","Other",401,401,1746
"Hounslow","E09000018","Asian, Asian British or Asian Welsh",1755,1755,38123
"Hounslow","E09000018","Black, Black British, Black Welsh, Caribbean or African",437,437,5901
"Hounslow","E09000018","Mixed or Mulitple ethnic groups",279,279,3012
"Hounslow","E09000018","White",5153,5153,41689
"Hounslow","E09000018","Other",466,466,6351
"Islington","E09000019","Asian, Asian British or Asian Welsh",219,219,10727
"Islington","E09000019","Black, Black British, Black Welsh, Caribbean or African",754,754,8627
"Islington","E09000019","Mixed or Mulitple ethnic groups",267,267,5723
"Islington","E09000019","White",2702,2702,73384
"Islington","E09000019","Other",270,270,5512
"Kensington and Chelsea","E09000020","Asian, Asian British or Asian Welsh",225,225,8879
"Kensington and Chelsea","E09000020","Black, Black British, Black Welsh, Caribbean or African",298,298,4000
"Kensington and Chelsea","E09000020","Mixed or Mulitple ethnic groups",170,170,3483
"Kensington and Chelsea","E09000020","White",1451,1451,50834
"Kensington and Chelsea","E09000020","Other",235,235,6030
"Kingston upon Thames","E09000021","Asian, Asian British or Asian Welsh",344,344,14262
"Kingston upon Thames","E09000021","Black, Black British, Black Welsh, Caribbean or African",96,96,1969
"Kingston upon Thames","E09000021","Mixed or Mulitple ethnic groups",97,97,2427
"Kingston upon Thames","E09000021","White",3604,3604,46777
"Kingston upon Thames","E09000021","Other",183,183,4149
"Lambeth","E09000022","Asian, Asian British or Asian Welsh",320,320,11350
"Lambeth","E09000022","Black, Black British, Black Welsh, Caribbean or African",2175,2175,22232
"Lambeth","E09000022","Mixed or Mulitple ethnic groups",542,542,8622
"Lambeth","E09000022","White",3345,3345,10337
"Lambeth","E09000022","Other",590,590,5729
"Lewisham","E09000023","Asian, Asian British or Asian Welsh",362,362,11062
"Lewisham","E09000023","Black, Black British, Black Welsh, Caribbean or African",2152,2152,26483
"Lewisham","E09000023","Mixed or Mulitple ethnic groups",474,474,6549
"Lewisham","E09000023","White",3845,3845,72393
"Lewisham","E09000023","Other",428,428,4327
"Merton","E09000024","Asian, Asian British or Asian Welsh",556,556,16311
"Merton","E09000024","Black, Black British, Black Welsh, Caribbean or African",635,635,8161
"Merton","E09000024","Mixed or Mulitple ethnic groups",216,216,3382
"Merton","E09000024","White",4109,4109,54958
"Merton","E09000024","Other",237,237,3601
"Newham","E09000025","Asian, Asian British or Asian Welsh",2252,2252,16311
"Newham","E09000025","Black, Black British, Black Welsh, Caribbean or African",1437,1437,8161
"Newham","E09000025","Mixed or Mulitple ethnic groups",329,329,3382
"Newham","E09000025","White",4139,4139,54958
"Newham","E09000025","Other",462,462,3601
"Redbridge","E09000026","Asian, Asian British or Asian Welsh",1794,1794,16311
"Redbridge","E09000026","Black, Black British, Black Welsh, Caribbean or African",585,585,19870
"Redbridge","E09000026","Mixed or Mulitple ethnic groups",224,224,4047
"Redbridge","E09000026","White",4572,4572,33434
"Redbridge","E09000026","Other",381,381,5227
"Richmond upon Thames","E09000027","Asian, Asian British or Asian Welsh",169,169,8820
"Richmond upon Thames","E09000027","Black, Black British, Black Welsh, Caribbean or African",81,81,1607
"Richmond upon Thames","E09000027","Mixed or Mulitple ethnic groups",100,100,3224
"Richmond upon Thames","E09000027","White",3249,3249,77369
"Richmond upon Thames","E09000027","Other",144,144,3069
"Southwark","E09000028","Asian, Asian British or Asian Welsh",329,329,15116
"Southwark","E09000028","Black, Black British, Black Welsh, Caribbean or African",1898,1898,25770
"Southwark","E09000028","Mixed or Mulitple ethnic groups",481,481,7177
"Southwark","E09000028","White",3140,3140,86348
"Southwark","E09000028","Other",660,660,6102
"Sutton","E09000029","Asian, Asian British or Asian Welsh",399,399,16543
"Sutton","E09000029","Black, Black British, Black Welsh, Caribbean or African",284,284,5123
"Sutton","E09000029","Mixed or Mulitple ethnic groups",157,157,2131
"Sutton","E09000029","White",6284,6284,39402
"Sutton","E09000029","Other",158,158,2690
"Tower Hamlets","E09000030","Asian, Asian British or Asian Welsh",1973,1973,37879
"Tower Hamlets","E09000030","Black, Black British, Black Welsh, Caribbean or African",495,495,7478
"Tower Hamlets","E09000030","Mixed or Mulitple ethnic groups",262,262,5901
"Tower Hamlets","E09000030","White",2457,2457,70951
"Tower Hamlets","E09000030","Other",255,255,5091
"Waltham Forest","E09000031","Asian, Asian British or Asian Welsh",740,740,16221
"Waltham Forest","E09000031","Black, Black British, Black Welsh, Caribbean or African",1161,1161,13411
"Waltham Forest","E09000031","Mixed or Mulitple ethnic groups",304,304,4641
"Waltham Forest","E09000031","White",5062,5062,57186
"Waltham Forest","E09000031","Other",432,432,4451
"Wandsworth","E09000032","Asian, Asian British or Asian Welsh",486,486,17152
"Wandsworth","E09000032","Black, Black British, Black Welsh, Caribbean or African",888,888,10141
"Wandsworth","E09000032","Mixed or Mulitple ethnic groups",323,323,6976
"Wandsworth","E09000032","White",3551,3551,13131
"Wandsworth","E09000032","Other",330,330,5759
"Westminster","E09000033","Asian, Asian British or Asian Welsh",498,498,17100
"Westminster","E09000033","Black, Black British, Black Welsh, Caribbean or African",412,412,5826
"Westminster","E09000033","Mixed or Mulitple ethnic groups",210,210,5256
"Westminster","E09000033","White",2179,2179,63989
"Westminster","E09000033","Other",450,450,10185
